
Upper bound 926 after 1 search tree nodes
MaschineNo   2 :   81  51  32  22  61  74  95   7  49  20 
MaschineNo   3 :   93  42  54  64  36  30  79  90  18   9 
MaschineNo   4 :   41  72  11  94  85  62  34   4  28  60 
MaschineNo   5 :   91  21  52  84  33   3  47  68  17  80 
MaschineNo   6 :   71  86  14  27  99  48   8  40  59  70 
MaschineNo   7 :    1  73  13  43  26  96  56  37  89  69 
MaschineNo   8 :   83  25  76  45  97   5  66  57  39  19 
MaschineNo   9 :   92  23  88  35   6  77  67  16  58  50 
MaschineNo  10 :   31  12  44  55  87  65  98  29  78  10 

Upper bound 878 after 45 search tree nodes
MaschineNo   1 :   82   2  24  53  75  63  46  15  38 100 
MaschineNo   2 :   81  51  32  22  61  74  95   7  49  20 
MaschineNo   3 :   93  42  54  64  36  30  18  90  79   9 
MaschineNo   4 :   41  72  11  94  85  62  34   4  28  60 
MaschineNo   5 :   91  21  52  84  33   3  47  17  68  80 
MaschineNo   6 :   71  86  14  27  48  99   8  40  59  70 
MaschineNo   7 :    1  73  13  43  26  96  56  37  89  69 
MaschineNo   8 :   83  25  45  76  97   5  66  57  39  19 
MaschineNo   9 :   92  23  88  35   6  16  67  77  58  50 
MaschineNo  10 :   31  12  44  55  87  65  98  29  78  10 

Upper bound 877 after 89 search tree nodes
MaschineNo   1 :   82   2  24  63  53  46  15  75  38 100 
MaschineNo   2 :   81  61  22  51  32  95  74   7  49  20 
MaschineNo   3 :   42  93  64  54  36  18   9  79  30  90 
MaschineNo   4 :   41  11  62  72  94   4  85  34  28  60 
MaschineNo   5 :   91  21  52   3  84  33  47  68  17  80 
MaschineNo   6 :   71  14  86  48   8  99  27  40  59  70 
MaschineNo   7 :    1  43  13  73  56  96  37  26  69  89 
MaschineNo   8 :   83  45  25  66   5  97  57  76  39  19 
MaschineNo   9 :   92  23  67   6  35  16  88  77  58  50 
MaschineNo  10 :   31  12  44  65  55  87  98  78  10  29 

Upper bound 868 after 95 search tree nodes
